2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | BACKTEST  BTC  30d  started 2026-04-04T04:30:11.860241+00:00
2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | Fetching BTC data for 30 days...
2026-04-04 11:30:27 | INFO    |   CLOSE SL | SELL BTC | entry=69229.0 exit=69535.9725 pnl=-2.22% (-2.22 USDT) | bal=10010
2026-04-04 11:30:28 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=69477.6 SL=69164.806 TP=69946.791 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:28 | INFO    |   CLOSE TP | BUY BTC | entry=69477.6 exit=69946.791 pnl=+3.38% (+3.38 USDT) | bal=10013
2026-04-04 11:30:28 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=69911.1 SL=69625.5223 TP=70339.4666 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:28 | INFO    |   CLOSE TP | BUY BTC | entry=69911.1 exit=70339.4666 pnl=+3.06% (+3.07 USDT) | bal=10017
2026-04-04 11:30:28 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=70294.2 SL=70550.8355 TP=69909.2467 R:R=1.5 | mode=VOLATILE_RANGE score=4
2026-04-04 11:30:28 | INFO    |   CLOSE SL | SELL BTC | entry=70294.2 exit=70550.8355 pnl=-1.83% (-1.83 USDT) | bal=10015
2026-04-04 11:30:29 | INFO    |   OPEN SELL BTC | setup=bearish_engulfing entry=69588.4 SL=70145.1072 TP=68531.9935 R:R=1.9 | mode=VOLATILE_RANGE score=6
2026-04-04 11:30:29 | INFO    |   CLOSE SL | SELL BTC | entry=69588.4 exit=70145.1072 pnl=-4.00% (-4.01 USDT) | bal=10011
2026-04-04 11:30:30 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=70243.5 SL=70551.0087 TP=69782.2369 R:R=1.5 | mode=VOLATILE_RANGE score=4
2026-04-04 11:30:30 | INFO    |   CLOSE TP | SELL BTC | entry=70243.5 exit=69782.2369 pnl=+3.28% (+3.29 USDT) | bal=10014
2026-04-04 11:30:30 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=69697.5 SL=69328.7563 TP=70250.6156 R:R=1.5 | mode=VOLATILE_RANGE score=5
2026-04-04 11:30:30 | INFO    |   Progress 1728/8640 (20%) | balance=10014 trades=21
2026-04-04 11:30:30 | INFO    |   CLOSE SL | BUY BTC | entry=69697.5 exit=69328.7563 pnl=-2.65% (-2.65 USDT) | bal=10011
