signal,entry,sl,tp,rr,setup,open_ts,mode,score,h1_trend,outcome,exit_price,exit_ts,pnl_pct,pnl_usdt,balance,held_min
BUY,72563.2,72285.392,72979.912,1.5,bullish_engulfing,2026-03-05T09:55:00+00:00,VOLATILE_RANGE,3,UPTREND,TP,72979.912,2026-03-05T10:20:00+00:00,2.871,2.87,10002.87,25.0
BUY,68434.1,68050.9147,69008.8779,1.5,bullish_pinbar,2026-03-06T17:15:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,68050.9147,2026-03-06T17:30:00+00:00,-2.8,-2.8,10000.07,15.0
BUY,68396.2,68064.5095,68893.7357,1.5,bullish_engulfing,2026-03-06T18:30:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,68064.5095,2026-03-06T19:45:00+00:00,-2.425,-2.42,9997.65,75.0
BUY,67920.4,67695.299,68258.0515,1.5,bullish_engulfing,2026-03-07T04:10:00+00:00,SIDEWAY,3,SIDEWAY,SL,67695.299,2026-03-07T06:50:00+00:00,-1.657,-1.66,9995.99,160.0
SELL,67665.7,67900.1643,67314.0036,1.5,bearish_pinbar,2026-03-07T06:55:00+00:00,SIDEWAY,4,SIDEWAY,SL,67900.1643,2026-03-07T08:15:00+00:00,-1.733,-1.73,9994.26,80.0
SELL,67276.9,67613.1922,66772.4616,1.5,bearish_pinbar,2026-03-07T19:20:00+00:00,DOWNTREND,6,DOWNTREND,TP,66772.4616,2026-03-08T02:50:00+00:00,3.749,3.75,9998.0,450.0
SELL,66884.3,67168.6107,66457.8339,1.5,bearish_pinbar,2026-03-08T03:05:00+00:00,DOWNTREND,6,DOWNTREND,SL,67168.6107,2026-03-08T05:25:00+00:00,-2.125,-2.12,9995.88,140.0
SELL,66200.0,66507.6,65738.6,1.5,bearish_engulfing,2026-03-09T00:15:00+00:00,DOWNTREND,3,DOWNTREND,SL,66507.6,2026-03-09T00:30:00+00:00,-2.323,-2.32,9993.56,15.0
SELL,67792.8,68207.882,67170.177,1.5,bearish_engulfing,2026-03-09T05:50:00+00:00,VOLATILE_RANGE,4,DOWNTREND,TP,67170.177,2026-03-09T07:00:00+00:00,4.592,4.59,9998.15,70.0
SELL,67693.8,68017.5345,67208.1982,1.5,bearish_engulfing,2026-03-09T08:35:00+00:00,VOLATILE_RANGE,4,DOWNTREND,SL,68017.5345,2026-03-09T09:25:00+00:00,-2.391,-2.39,9995.76,50.0
SELL,67850.0,68118.125,67447.8125,1.5,bearish_pinbar,2026-03-09T10:20:00+00:00,VOLATILE_RANGE,3,DOWNTREND,TP,67447.8125,2026-03-09T11:15:00+00:00,2.964,2.96,9998.72,55.0
SELL,68928.9,69360.3222,68281.7666,1.5,bearish_pinbar,2026-03-09T16:50:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,68281.7666,2026-03-09T17:40:00+00:00,4.694,4.69,10003.41,50.0
BUY,68462.8,68202.743,68852.8855,1.5,bullish_pinbar,2026-03-09T19:05:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,TP,68852.8855,2026-03-09T19:20:00+00:00,2.849,2.85,10006.26,15.0
SELL,68952.8,69272.582,68473.127,1.5,bearish_pinbar,2026-03-09T20:00:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,68473.127,2026-03-09T23:40:00+00:00,3.478,3.48,10009.74,220.0
BUY,68495.1,68264.1622,68841.5066,1.5,bullish_pinbar,2026-03-09T23:45:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,TP,68841.5066,2026-03-10T00:25:00+00:00,2.529,2.53,10012.27,40.0
SELL,69229.0,69535.9725,68768.5413,1.5,bearish_pinbar,2026-03-10T01:55:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,SL,69535.9725,2026-03-10T02:30:00+00:00,-2.217,-2.22,10010.05,35.0
BUY,69477.6,69164.806,69946.791,1.5,bullish_pinbar,2026-03-10T03:50:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,69946.791,2026-03-10T04:35:00+00:00,3.377,3.38,10013.43,45.0
BUY,69911.1,69625.5223,70339.4666,1.5,bullish_pinbar,2026-03-10T04:45:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,70339.4666,2026-03-10T07:10:00+00:00,3.064,3.07,10016.5,145.0
SELL,70294.2,70550.8355,69909.2467,1.5,bearish_pinbar,2026-03-10T07:40:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,SL,70550.8355,2026-03-10T08:05:00+00:00,-1.825,-1.83,10014.67,25.0
SELL,69588.4,70145.1072,68531.9935,1.9,bearish_engulfing,2026-03-10T14:05:00+00:00,VOLATILE_RANGE,6,VOLATILE_RANGE,SL,70145.1072,2026-03-10T14:35:00+00:00,-4.0,-4.01,10010.67,30.0
SELL,70243.5,70551.0087,69782.2369,1.5,bearish_pinbar,2026-03-10T21:05:00+00:00,VOLATILE_RANGE,4,VOLATILE_RANGE,TP,69782.2369,2026-03-10T21:35:00+00:00,3.283,3.29,10013.95,30.0
BUY,69697.5,69328.7563,70250.6156,1.5,bullish_pinbar,2026-03-10T21:40:00+00:00,VOLATILE_RANGE,5,VOLATILE_RANGE,SL,69328.7563,2026-03-11T09:35:00+00:00,-2.645,-2.65,10011.3,715.0
SELL,69247.5,69801.48,68278.0375,1.75,bearish_pinbar,2026-03-11T12:30:00+00:00,VOLATILE_RANGE,5,VOLATILE_RANGE,SL,69801.48,2026-03-11T13:10:00+00:00,-4.0,-4.0,10007.3,40.0
SELL,70410.5,70973.784,69534.4105,1.56,bearish_engulfing,2026-03-11T13:40:00+00:00,VOLATILE_RANGE,6,VOLATILE_RANGE,SL,70973.784,2026-03-11T17:10:00+00:00,-4.0,-4.0,10003.3,210.0
